Date,All Items,All_item_adjusted,Food,Food_adjusted,Month-on (%),Year-on (%),PMS Price,ifemDollar,"Agric hen eggs, (a Crate of 30 pieces)",Beans Brown,"Bread (sliced), 450g",Chicken meat (Frozen),Garri white,Maize (Corn) Grains (White) sold loose," Onions, fresh ","Palm oil, 75cl","Rice Local, short-Grained",Rice Long-Grained (Imported),"Tomatoes, fresh","Vegetable Oil, 75cl",Yam Tuber,Sweet potatoes
1/31/2017,215.70,215.70,221.40,221.40,1.00,18.72,148.70,305.2,"1,422.54",353.6,270.25,1419.75,219.56,167.11,258.92,420.62,286.19,402.01,247.55,495.29,210.58,129.43
2/28/2017,218.90,218.90,225.80,225.80,1.50,17.78,149.80,305.31,"1,287.11",337.11,264.86,1428.95,260.94,172.86,241.44,434.81,306.29,410.58,236.62,507.36,215.55,127.23
3/31/2017,222.70,222.70,230.80,230.80,1.70,17.26,149.39,306.4,"1,317.83",353.28,262.33,1555.51,273.67,174.03,246.95,442.04,308.87,418.71,268.64,513.42,255.86,132.94
4/30/2017,226.30,226.30,235.50,235.50,1.60,17.24,149.87,306.05,"1,386.54",357.19,277.69,1606.63,288.45,182.94,205.6,452.42,299.3,388.46,285.72,525.72,250.3,132.43
5/31/2017,230.50,230.50,241.50,241.50,1.90,16.25,150.69,305.54,"1,372.05",365.86,282.26,1605.97,292.97,188.9,203.56,458.24,323.82,410.55,339.72,524.77,279.15,130.28
6/30/2017,234.20,234.20,246.30,246.30,1.60,16.10,150.28,305.72,"1,358.32",374.26,286.78,1645.29,315.61,190.33,214.79,471.28,325.51,415.84,375,546.29,292.06,135.77
7/31/2017,237.00,237.00,250.00,250.00,1.20,16.05,148.21,305.86,"1,329.54",382.35,285.55,1623.84,317.1,191.33,213.14,478.75,323.25,409.2,394.13,552.91,294.12,137.96
8/31/2017,239.30,239.30,252.90,252.90,1.00,16.01,144.43,305.67,"1,287.52",370.25,258.7,1529.25,310.15,192.44,236.66,492.9,320.19,384.35,431.3,559.01,343.39,138.56
9/30/2017,241.20,241.20,255.10,255.10,0.80,15.98,144.52,305.89,"1,371.48",404.84,286.33,1570.26,301.99,168.12,238.29,439.88,316.4,398.01,322.39,505.51,259.51,139
10/31/2017,243.00,243.00,257.20,257.20,0.80,15.91,145.99,305.62,"1,261.88",382.58,280.34,1580.13,268.1,191.15,217.58,473.61,292.9,368.9,291.53,547.11,223.63,115.73
11/30/2017,244.90,244.90,259.50,259.50,0.80,15.90,145.60,305.9,"1,224.48",369.78,274.32,1571.48,251.91,185.13,228.46,475.51,278.89,360.83,286.39,540.2,212.27,111.36
12/31/2017,246.40,246.40,261.00,261.00,0.60,15.37,171.79,306.31,"1,239.70",361.97,268.23,1708.64,199.68,154.37,311.09,551.77,278.94,371.21,276.18,565.04,211.61,120.19
1/31/2018,248.40,248.40,263.30,263.30,0.80,15.13,190.87,305.78,"1,165.42",385.53,282.12,1547.5,229.26,190.51,248.74,480.92,274.66,360.76,271.99,540.25,226.51,113.36
2/28/2018,250.30,250.30,265.50,265.50,0.80,14.33,172.46,305.9,"1,238.14",387.48,284.36,1548.87,210.21,185.2,252.03,510.1,276.28,365.21,267.1,549.02,230.85,126.44
3/31/2018,252.40,252.40,267.90,267.90,0.80,13.34,163.39,305.74,"1,236.25",395.34,278.61,1544.95,209.12,231.56,235.31,492.13,283.57,363.33,267.09,533.45,254.51,130.3
4/30/2018,254.50,254.50,270.40,270.40,0.80,12.48,151.40,305.61,"1,267.37",395.19,278.61,1537.85,208.21,173.45,234.37,486.84,281.51,369.35,289.49,548.01,279.61,137.4
