Date,ifemDollar
1/31/2017,305.2
2/28/2017,305.31
3/31/2017,306.4
4/30/2017,306.05
5/31/2017,305.54
6/30/2017,305.72
7/31/2017,305.86
8/31/2017,305.67
9/30/2017,305.89
10/31/2017,305.62
11/30/2017,305.9
12/31/2017,306.31
1/31/2018,305.78
2/28/2018,305.9
3/31/2018,305.74
4/30/2018,305.61
5/31/2018,305.83
6/30/2018,305.87
7/31/2018,305.81
8/31/2018,306.06
9/30/2018,306.27
10/31/2018,306.5
11/30/2018,306.71
12/31/2018,306.92
1/31/2019,306.85
2/28/2019,306.77
3/31/2019,306.92
4/30/2019,306.96
5/31/2019,306.95
6/30/2019,306.95
7/31/2019,306.94
8/31/2019,306.93
9/30/2019,306.92
10/31/2019,306.96
11/30/2019,306.95
12/31/2019,306.95
1/31/2020,306.96
2/29/2020,306.96
3/31/2020,326.63
4/30/2020,361
5/31/2020,361
6/30/2020,361
7/31/2020,377.19
8/31/2020,381
9/30/2020,381
10/31/2020,381
11/30/2020,381
12/31/2020,381
1/31/2021,387.83
2/28/2021,390.28
3/31/2021,388.03
4/30/2021,392.1
5/31/2021,404.93
6/30/2021,411.28
7/31/2021,411.17
8/31/2021,411.58
9/30/2021,411.56
10/31/2021,411.12
11/30/2021,410.96
12/31/2021,411.21
1/31/2022,413.75
2/28/2022,416.14
3/31/2022,416.12
4/30/2022,415.81
5/31/2022,415.14
6/30/2022,416.1
7/31/2022,419.29
8/31/2022,421.07
9/30/2022,428.24
10/31/2022,435.53
11/30/2022,441.49
12/31/2022,445.41
1/31/2023,454.63
2/28/2023,460.35
3/31/2023,459.78
4/30/2023,461.38
5/31/2023,461.39
6/30/2023,600.43
7/31/2023,777.26
8/31/2023,767.59
9/30/2023,772.65
10/31/2023,779.94
11/30/2023,800.84
12/31/2023,812.7
1/31/2024,911.19
2/29/2024,1383.93
3/31/2024,1528.27
4/30/2024,1272.72
5/31/2024,1434.09
6/30/2024,1489.88
7/31/2024,1530.67
8/31/2024,1596.12
9/30/2024,1634.06
10/31/2024,1639.14
11/30/2024,1674.64
12/31/2024,1571.26
1/31/2025,1550.27
2/28/2025,1529.39
3/31/2025,1527.17
4/30/2025,1582.31
5/31/2025,1598.66
6/30/2025,1552.52
7/31/2025,1530.61
8/31/2025,1533.05
9/30/2025,1503.64
10/31/2025,1465.09
11/30/2025,1444.58
12/31/2025,1452.54
1/31/2026,1419.98
