Date,All Items,All_item_adjusted,Food,Food_adjusted,Month-on (%),Year-on (%)
1/31/2017,215.70,215.70,221.40,221.40,1.00,18.72
2/28/2017,218.90,218.90,225.80,225.80,1.50,17.78
3/31/2017,222.70,222.70,230.80,230.80,1.70,17.26
4/30/2017,226.30,226.30,235.50,235.50,1.60,17.24
5/31/2017,230.50,230.50,241.50,241.50,1.90,16.25
6/30/2017,234.20,234.20,246.30,246.30,1.60,16.10
7/31/2017,237.00,237.00,250.00,250.00,1.20,16.05
8/31/2017,239.30,239.30,252.90,252.90,1.00,16.01
9/30/2017,241.20,241.20,255.10,255.10,0.80,15.98
10/31/2017,243.00,243.00,257.20,257.20,0.80,15.91
11/30/2017,244.90,244.90,259.50,259.50,0.80,15.90
12/31/2017,246.40,246.40,261.00,261.00,0.60,15.37
1/31/2018,248.40,248.40,263.30,263.30,0.80,15.13
2/28/2018,250.30,250.30,265.50,265.50,0.80,14.33
3/31/2018,252.40,252.40,267.90,267.90,0.80,13.34
4/30/2018,254.50,254.50,270.40,270.40,0.80,12.48
5/31/2018,257.30,257.30,273.90,273.90,1.10,11.61
6/30/2018,260.50,260.50,278.20,278.20,1.20,11.23
7/31/2018,263.40,263.40,282.20,282.20,1.10,11.14
8/31/2018,266.20,266.20,286.20,286.20,1.00,11.23
9/30/2018,268.40,268.40,289.00,289.00,0.80,11.28
10/31/2018,270.40,270.40,291.40,291.40,0.70,11.26
11/30/2018,272.60,272.60,294.00,294.00,0.80,11.28
12/31/2018,274.60,274.60,296.40,296.40,0.70,11.44
1/31/2019,276.60,276.60,298.90,298.90,0.70,11.37
2/28/2019,278.60,278.60,301.30,301.30,0.70,11.31
3/31/2019,280.80,280.80,303.90,303.90,0.80,11.25
4/30/2019,283.50,283.50,307.40,307.40,0.90,11.37
5/31/2019,286.60,286.60,311.70,311.70,1.10,11.40
6/30/2019,289.70,289.70,316.00,316.00,1.10,11.22
7/31/2019,292.60,292.60,319.90,319.90,1.00,11.08
8/31/2019,295.50,295.50,323.90,323.90,1.00,11.02
9/30/2019,298.60,298.60,328.10,328.10,1.00,11.24
10/31/2019,301.80,301.80,332.40,332.40,1.10,11.61
11/30/2019,304.90,304.90,336.60,336.60,1.00,11.85
12/31/2019,307.50,307.50,339.90,339.90,0.90,11.98
1/31/2020,310.20,310.20,343.20,343.20,0.90,12.13
2/29/2020,312.60,312.60,346.20,346.20,0.80,12.20
3/31/2020,315.20,315.20,349.50,349.50,0.80,12.26
4/30/2020,318.40,318.40,353.60,353.60,1.00,12.34
5/31/2020,322.20,322.20,358.60,358.60,1.20,12.40
6/30/2020,326.10,326.10,363.90,363.90,1.20,12.56
7/31/2020,330.10,330.10,369.50,369.50,1.20,12.82
8/31/2020,334.60,334.60,375.70,375.70,1.30,13.22
9/30/2020,339.50,339.50,382.70,382.70,1.50,13.71
10/31/2020,344.70,344.70,390.20,390.20,1.50,14.23
11/30/2020,350.30,350.30,398.20,398.20,1.60,14.89
12/31/2020,355.90,355.90,406.40,406.40,1.60,15.75
1/31/2021,361.20,361.20,413.80,413.80,1.50,16.47
2/28/2021,366.80,366.80,421.60,421.60,1.50,17.33
3/31/2021,372.50,372.50,429.70,429.70,1.60,18.17
4/30/2021,376.10,376.10,433.90,433.90,1.00,18.12
5/31/2021,379.90,379.90,438.50,438.50,1.00,17.93
6/30/2021,384.00,384.00,443.40,443.40,1.10,17.75
7/31/2021,387.50,387.50,447.20,447.20,0.90,17.38
8/31/2021,391.50,391.50,451.90,451.90,1.00,17.01
9/30/2021,396.00,396.00,457.60,457.60,1.10,16.63
10/31/2021,399.90,399.90,461.80,461.80,1.00,15.99
11/30/2021,404.20,404.20,466.70,466.70,1.10,15.40
12/31/2021,411.50,411.50,477.00,477.00,1.80,15.63
1/31/2022,417.60,417.60,484.70,484.70,1.50,15.60
2/28/2022,424.40,424.40,493.80,493.80,1.60,15.70
3/31/2022,431.80,431.80,503.60,503.60,1.70,15.92
4/30/2022,439.40,439.40,513.60,513.60,1.76,16.82
5/31/2022,447.20,447.20,524.00,524.00,1.78,17.71
6/30/2022,455.40,455.40,534.70,534.70,1.82,18.60
7/31/2022,463.60,463.60,545.60,545.60,1.82,19.64
8/31/2022,471.80,471.80,556.40,556.40,1.77,20.52
9/30/2022,478.20,478.20,564.40,564.40,1.36,20.77
10/31/2022,484.20,484.20,571.30,571.30,1.24,21.09
11/30/2022,490.90,490.90,579.30,579.30,1.39,21.47
12/31/2022,499.40,499.40,590.20,590.20,1.71,21.34
1/31/2023,508.70,508.70,602.50,602.50,1.87,21.82
2/28/2023,517.40,517.40,614.00,614.00,1.71,21.91
3/31/2023,527.00,527.00,626.70,626.70,1.86,22.04
4/30/2023,537.00,537.00,640.00,640.00,1.91,22.22
5/31/2023,547.50,547.50,654.10,654.10,1.94,22.41
6/30/2023,559.10,559.10,669.70,669.70,2.13,22.79
7/31/2023,575.30,575.30,692.90,692.90,2.89,24.08
8/31/2023,593.60,593.60,719.70,719.70,3.18,25.80
9/30/2023,606.00,606.00,737.30,737.30,2.10,26.72
10/31/2023,616.50,616.50,751.40,751.40,1.73,27.33
11/30/2023,629.40,629.40,769.60,769.60,2.09,28.20
12/31/2023,643.80,643.80,790.50,790.50,2.29,28.92
1/31/2024,660.80,660.80,815.90,815.90,2.64,29.90
2/29/2024,681.40,681.40,846.80,846.80,3.12,31.70
3/31/2024,701.90,701.90,877.50,877.50,3.02,33.20
4/30/2024,718.00,718.00,899.50,899.50,2.29,33.69
5/31/2024,733.40,733.40,920.00,920.00,2.14,33.95
6/30/2024,750.30,750.30,943.50,943.50,2.31,34.19
7/31/2024,767.40,767.40,966.80,966.80,2.28,33.40
8/31/2024,784.40,784.40,989.70,989.70,2.22,32.15
9/30/2024,804.10,804.10,"1,015.80","1,015.80",2.52,32.70
10/31/2024,825.40,825.40,"1,045.60","1,045.60",2.64,33.88
11/30/2024,847.10,847.10,"1,076.80","1,076.80",2.64,34.60
12/31/2024,867.80,867.80,"1,105.50","1,105.50",2.44,34.80
1/31/2025,110.70,843.35,110.30,"1,057.36",-2.80,27.60
2/28/2025,112.90,860.11,112.20,"1,075.57",2.04,26.27
3/31/2025,117.30,893.63,114.60,"1,098.58",3.90,27.35
4/30/2025,119.50,910.39,117.00,"1,121.59",1.86,26.82
