Date,food_cpi,fuel_price,exchange_rate,basket_cost
2017-01-31,221.4,148.7,305.2,17028.510000000002
2017-02-28,225.8,149.8,305.31,17171.780000000002
2017-03-31,230.8,149.39,306.4,17846.540000000005
2017-04-30,235.5,149.87,306.05,18087.170000000006
2017-05-31,241.5,150.69,305.54,18632.75
2017-06-30,246.3,150.28,305.72,19168.370000000003
2017-07-31,250.0,148.21,305.86,19185.809999999998
2017-08-31,252.9,144.43,305.67,18913.31
2017-09-30,255.1,144.52,305.89,18367.64
2017-10-31,257.2,145.99,305.62,17885.37
2017-11-30,259.5,145.6,305.9,17515.710000000003
2017-12-31,261.0,171.79,306.31,18026.270000000004
2018-01-31,263.3,190.87,305.78,17458.800000000003
2018-02-28,265.5,172.46,305.9,17683.16
2018-03-31,267.9,163.39,305.74,17643.479999999996
2018-04-30,270.4,151.4,305.61,17831.75
2018-05-31,273.9,150.17,305.83,18080.25
2018-06-30,278.2,148.09,305.87,18071.520000000004
2018-07-31,282.2,146.82,305.81,17993.530000000002
2018-08-31,286.2,146.9,306.06,18100.46
2018-09-30,289.0,147.33,306.27,18025.86
2018-10-31,291.4,147.23,306.5,17748.81
2018-11-30,294.0,147.46,306.71,17737.030000000002
2018-12-31,296.4,145.78,306.92,17344.360000000004
2019-01-31,298.9,145.7,306.85,17319.07
2019-02-28,301.3,145.29,306.77,17178.519999999997
2019-03-31,303.9,145.32,306.92,17591.209999999995
2019-04-30,307.4,145.92,306.96,17224.59
2019-05-31,311.7,145.03,306.95,17186.679999999997
2019-06-30,316.0,145.36,306.95,16828.260000000002
2019-07-31,319.9,145.03,306.94,16658.269999999997
2019-08-31,323.9,145.48,306.93,16867.04
2019-09-30,328.1,145.53,306.92,17346.91
2019-10-31,332.4,145.48,306.96,17736.329999999998
2019-11-30,336.6,145.94,306.95,18533.899999999994
2019-12-31,339.9,145.35,306.95,18630.559999999998
2020-01-31,343.2,145.37,306.96,18288.86
2020-02-29,346.2,145.41,306.96,18133.99
2020-03-31,349.5,145.4,326.63,18176.28
2020-04-30,353.6,130.84,361.0,19040.609999999997
2020-05-31,358.6,129.67,361.0,18987.890000000003
2020-06-30,363.9,128.88,361.0,19457.289999999997
2020-07-31,369.5,143.63,377.19,19829.13
2020-08-31,375.7,148.78,381.0,19953.02
2020-09-30,382.7,161.06,381.0,20178.17
2020-10-31,390.2,161.17,381.0,20621.99
2020-11-30,398.2,167.27,381.0,21184.87
2020-12-31,406.4,165.7,381.0,21222.28
2021-01-31,413.8,164.09,387.83,21269.140000000003
2021-02-28,421.6,166.24,390.28,21287.989999999998
2021-03-31,429.7,172.68,388.03,21476.08
2021-04-30,433.9,166.38,392.1,21599.02
2021-05-31,438.5,168.06,404.93,22204.779999999995
2021-06-30,443.4,175.89,411.28,23031.12
2021-07-31,447.2,168.91,411.17,23919.700000000008
2021-08-31,451.9,164.91,411.58,24189.81
2021-09-30,457.6,164.85,411.56,24444.250000000004
2021-10-31,461.8,164.6,411.12,24722.989999999998
2021-11-30,466.7,165.5,410.96,25570.350000000006
2021-12-31,477.0,165.77,411.21,26061.700000000004
2022-01-31,484.7,166.4,413.75,26534.36
